Airport_Code,Airport_Name,Country,Airport_Type
JNU,Juneau International Airport,United States,medium_airport
PSC,Tri-Cities Airport,United States,medium_airport
HOU,William P. Hobby Airport,United States,large_airport
ISP,Long Island MacArthur Airport,United States,medium_airport
BPT,Jack Brooks Regional Airport,United States,medium_airport
APN,Alpena County Regional Airport,United States,medium_airport
TUS,Tucson International Airport,United States,large_airport
MHK,Manhattan Regional Airport,United States,medium_airport
EAU,Chippewa Valley Regional Airport,United States,medium_airport
PGD,Punta Gorda Airport,United States,medium_airport
HTS,Tri-State Airport,United States,medium_airport
SUX,Sioux Gateway Airport,United States,medium_airport
LAR,Laramie Regional Airport,United States,medium_airport
CWA,Central Wisconsin Airport,United States,medium_airport
ECP,Northwest Florida Beaches International Airport,United States,medium_airport
SWO,Stillwater Regional Airport,United States,medium_airport
FNT,Bishop International Airport,United States,medium_airport
LFT,Lafayette Regional Airport,United States,medium_airport
CLL,Easterwood Airport,United States,medium_airport
LAF,Purdue University Airport,United States,medium_airport
PIR,Pierre Regional Airport,United States,medium_airport
SWF,New York Stewart International Airport,United States,medium_airport
PPG,Pago Pago International Airport,United States,large_airport
ABI,Abilene Regional Airport,United States,medium_airport
VLD,Valdosta Regional Airport,United States,medium_airport
ERI,Erie International Airport,United States,medium_airport
HPN,Westchester County Airport,United States,medium_airport
CLT,Charlotte Douglas International Airport,United States,large_airport
PWM,Portland International Jetport,United States,large_airport
LGA,LaGuardia Airport,United States,large_airport
PIT,Pittsburgh International Airport,United States,large_airport
RAP,Rapid City Regional Airport,United States,medium_airport
EVV,Evansville Regional Airport,United States,medium_airport
DFW,Dallas/Fort Worth International Airport,United States,large_airport
BRW,Wiley Post-Will Rogers Memorial Airport,United States,medium_airport
JFK,John F. Kennedy International Airport,United States,large_airport
CHA,Chattanooga Metropolitan Airport,United States,medium_airport
BDL,Bradley International Airport,United States,large_airport
AGS,Augusta Regional Airport,United States,medium_airport
PHL,Philadelphia International Airport,United States,large_airport
EGE,Eagle County Regional Airport,United States,medium_airport
OKC,Will Rogers World Airport,United States,large_airport
KTN,Ketchikan International Airport,United States,medium_airport
OAK,Oakland International Airport,United States,large_airport
LAW,Lawton-Fort Sill Regional Airport,United States,medium_airport
OTH,Southwest Oregon Regional Airport,United States,medium_airport
ORF,Norfolk International Airport,United States,large_airport
BTV,Burlington International Airport,United States,medium_airport
HDN,Yampa Valley Airport,United States,medium_airport
PAE,Paine Field Airport,United States,medium_airport
MFR,Rogue Valley International-Medford Airport,United States,medium_airport
LNK,Lincoln Airport,United States,medium_airport
JLN,Joplin Regional Airport,United States,medium_airport
MCW,Mason City Municipal Airport,United States,medium_airport
WYS,Yellowstone Airport,United States,medium_airport
PRC,Prescott Regional Airport,United States,medium_airport
SDF,Louisville Muhammad Ali International Airport,United States,large_airport
BTR,Baton Rouge Metropolitan Airport,United States,medium_airport
STS,Charles M. Schulz-Sonoma County Airport,United States,medium_airport
LRD,Laredo International Airport,United States,medium_airport
YAK,Yakutat Airport,United States,medium_airport
TWF,Magic Valley Regional Airport,United States,medium_airport
MLB,Melbourne Orlando International Airport,United States,medium_airport
PQI,Northern Maine Regional Airport,United States,medium_airport
MVY,Martha s Vineyard Airport,United States,small_airport
LSE,La Crosse Regional Airport,United States,medium_airport
MCI,Kansas City International Airport,United States,large_airport
AZO,Kalamazoo/Battle Creek International Airport,United States,medium_airport
RKS,Southwest Wyoming Regional Airport,United States,medium_airport
ACK,Nantucket Memorial Airport,United States,medium_airport
BZN,Bozeman Yellowstone International Airport,United States,medium_airport
